,nom,themes_libe,lieu,codepostal,ouverturealannee,precisions_tarifs,services,url_site,tel,mail,adresse,location_latlong
23,DU COQ À L’ÂNE,Cuisine traditionnelle,BOUGUENAIS,44340,,,,,02 40 34 72 10,,La Ranjonnière,"[47.168598, -1.597974]"
24,FLAM'S NANTES,Cuisine traditionnelle,NANTES,44000,oui,"Menu adulte du jour (midi en semaine)||||||Menu avec une boisson et une kueche ; Menu enfant||||||Menu à volonté pour toutes nos Flam's traditionnelles ; Menu adulte soir et week-end||||||Menu Flam's à volonté avec toutes nos Flam's et une entrée ou un dessert ; Plats à la carte||||||Menu pour les moins de 8 ans, avec : 1/2 flam's, une boisson et un dessert.;Gratuit le dimanche midi (sous réserve)","Banquet, Climatisation, Plats à emporter, Séminaire, Service en terrasse, WiFi",https://www.flams.fr/restaurant_nantes.html,02 40 48 57 77,nantes@flams.fr,14 bis rue Talensac,"[47.2239586, -1.5408058]"
25,FRENCH IS BURGER,Restauration rapide,SUCE-SUR-ERDRE,44240,oui,,Plats à emporter,,02 51 12 65 95,,310 Avenue de l'Europe,"[47.3422145, -1.5303258]"
26,LA CAVE DE L’INATTENDU,,VERTOU,44120,,,,www.hodebert.com,02 51 79 82 58,contact@hodebert.com,25 route des Sorinières,"[47.1651229, -1.4841423]"
27,LA TERRASSE DU STADE,,NANTES,44100,,,,www.laterrassedustade.com,02 28 25 47 66,laterrassedustade@gmail.com,74 boulevard des Anglais,"[47.2280464, -1.5808061]"
28,LE 1,Brasserie,NANTES,44200,oui,,"Plats à emporter, Service en terrasse, WiFi",http://www.leun.fr,02 40 08 28 00,,1 rue Olympe de Gouges,"[47.2080695, -1.5603786]"
29,LE B.,Cuisine traditionnelle,NANTES,44000,oui,,"Plats à emporter, Service en terrasse, WiFi",,02 28 08 71 76,,15 rue Jean-Jacques Rousseau,"[47.2128906, -1.5616423]"
30,LE PAVILLON,,SAINT-HERBLAIN,44800,,,,:	Internet :http://www.restaurant-lepavillon.fr,02 40 94 99 99,,379 route de Vannes,"[47.2525171, -1.6239221]"
31,LE ROMARIN,Restaurant gastronomique - cuisine raffinée,SAUTRON,44880,oui,,"Banquet, Plats à emporter, Séminaire, Service en terrasse, Traiteur, WiFi",http://www.restaurant-leromarin.com,02 40 63 15 87,,79 Rue de Bretagne,"[47.2628588, -1.6752611]"
32,LE VER LUISANT,,INDRE,44610,,,,,02 53 97 50 96,leverluisant@outlook.fr,1 rue Albert Thomas,"[47.1992544, -1.6710419]"
33,LES BOUTEILLES - LA CANTINE,Bistrot / bar à vin,NANTES,44000,,,,,02 40 08 27 65,,11 Rue de Bel Air,"[47.2210971, -1.5591142]"
34,RESTAURANT DU PONT,Cuisine traditionnelle,BASSE-GOULAINE,44115,,,,http://www.restaurant-du-pont.fr,02 40 03 58 62,,147 Rue du Grignon,"[47.2153934, -1.4749447]"
35,RESTAURANT LA HAUTE FORÊT,,VERTOU,44120,,,,http://www.hotel-vertou.com,02 40 34 01 74,,53 boulevard de l'Europe,"[47.1700151, -1.4670984]"
36,ROZA,,NANTES,44100,,,,www.restaurantroza.com,2 40 54 01 87,reservationroza@hotmail.com,3 place de la Monnaie,"[47.2132255, -1.5655622]"
37,SUGAR BLUE,Coffee-shop,NANTES,44100,,,,http://sugarbluecafe.fr/,09 83 24 19 24,,4 Rue de l’Arche Sèche,"[47.215232, -1.5582399]"
38,VACARME,,NANTES,44100,,,,https://vacarme-nantes.com/,09 87 34 18 82,damian@vacarme-nantes.com,5 rue des Bons Français,"[47.2165623, -1.5551365]"
39,L'ENTREPÔT 16,Bistrot / bar à vin,PONT-SAINT-MARTIN,44860,,,,,06 31 80 89 18,boiteapintes@yahoo.com,16 Rue de la Communauté,"[47.11165, -1.54267]"
40,L'ESSENTIEL,Cuisine traditionnelle,PONT-SAINT-MARTIN,44860,oui,,,,02 40 32 75 44,resto.lessentielpsm@gmail.com,10 rue du Pays de Retz,"[47.123191, -1.5845565]"
41,LA CACHETTE,,NANTES,44100,,,,,02 40 47 42 91,,2 rue du Refuge,"[47.2187145, -1.5521949]"
42,LA P'TITE ARDOISE,Cuisine traditionnelle,NANTES,44200,,,,,02 40 69 66 20,,13 Boulevard Babin Chevaye,"[47.2051756, -1.5518982]"
43,LES CAUDALIES,Restaurant gastronomique - cuisine raffinée,SAINT-HERBLAIN,44800,,,,http://www.restaurant-lescaudalies.com,02 40 94 35 35,,229 Route de Vannes,"[47.242111, -1.5955472]"
44,LES TABLES DE NANTES,,NANTES,44000,oui,,,http://www.lestablesdenantes.fr/,,,9 rue des Etats,"[47.2156708, -1.5507486]"
45,L’OURSE,,NANTES,44100,,,,,02 40 73 06 69,,1 rue Montesquieu,"[47.213028, -1.5658207]"
46,A CANTINA,,NANTES,44000,,,,http://www.a-cantina.fr/,02 40 47 68 83,,28 rue Kervegan,"[47.2125614, -1.5565375]"
47,BECKETT'S CANTEEN,Cuisine traditionnelle,NANTES,44000,,,,,02 40 48 76 46,,3 rue Guépin,"[47.2161589, -1.558975]"
48,BONCOEUR,Pizzeria,NANTES,44100,oui,,"Plats à emporter, Service en terrasse",https://boncoeurpizza.fr/,02 40 71 04 64,boncoeurpizza@gmail.com,4 rue des Garennes,"[47.20199, -1.57911]"
49,BRASSERIE FÉLIX,Brasserie,NANTES,44000,,,"Plats à emporter, Service en terrasse, WiFi",http://www.brasseriefelix.com,02 40 34 15 93,,1 rue Lefèvre-Utile,"[47.2144498, -1.5436808]"
50,CAFÉ DU MUSÉE,,NANTES,44100,,,,www.cafedumusee.fr,02 51 12 93 09,contact@cafedumusee.fr,10 rue Georges Clemenceau,"[47.2195345, -1.5474903]"
51,RESTAURANT L APOSTROPHE,Restaurant gastronomique - cuisine raffinée,SUCE-SUR-ERDRE,44240,oui,,"Climatisation, Service en terrasse, WiFi",https://restaurantapostrophe.com/,02 40 29 14 14,contact@restaurantapostrophe.fr,120 Rue de la Mairie,"[47.3394149, -1.5260389]"
52,RESTAURANT L'ORÉE DU BOIS,Restaurant gastronomique - cuisine raffinée,ORVAULT,44700,,,,https://www.restaurant-loreedubois.fr/,02 40 63 63 54,,94 Route de la Garenne,"[47.2651515, -1.6272094]"
53,RESTAURANT LE BEAUJOIRE,,NANTES,44300,,,"Banquet, Séminaire, Service en terrasse, WiFi",https://www.beaujoire-hotel.com/,02 40 93 00 01,,15 rue des Pays de la Loire,"[47.25791, -1.52923]"
54,TAPAS ET VINOS,Cuisine traditionnelle,NANTES,44000,,,"Banquet, WiFi",http://www.tapasetvinos.fr/,02 40 20 86 91,,15 rue Kervegan,"[47.2126533, -1.5557163]"
55,Ô PATIO,Cuisine traditionnelle,SUCE-SUR-ERDRE,44240,oui,,"Banquet, Climatisation, Plats à emporter, Séminaire, Service en terrasse",http://www.restaurantopatio.fr,02 51 81 10 10,contact@restaurantopatio.fr,Quai de Cricklade,"[47.3394898, -1.5255548]"
56,CRÊPERIE DE BROCÉLIANDE,Crêperie,NANTES,44000,,,Service en terrasse,,02 40 89 04 03,,3 rue de Guérande,"[47.214068, -1.5589786]"
57,DILEMME,,NANTES,44100,,,,www.restaurantledilemme.fr,02 85 37 87 89,,24 rue Jean Jaurès,"[47.218484, -1.5617049]"
58,GWAIEN,,NANTES,44100,,,,,02 55 11 19 82,,63 rue de Bel Air,"[47.2241997, -1.5593216]"
59,L'ARCHIPEL,Cuisine traditionnelle,LA CHAPELLE-SUR-ERDRE,44240,,Menu adulte du jour (midi en semaine)||||||E+P ou P+D 20€ en semaine midi ; Menu adulte soir et week-end||||||soir semaine: mercredi et jeudi 32€ - E+P+D,"Plats à emporter, Service en terrasse, Traiteur",,02 40 72 00 60,,4 rue Francois Clouet,"[47.2998742, -1.5500024]"
60,L'Auberge du Pays de Retz,Cuisine traditionnelle,PORT-SAINT-PERE,44710,,,"Banquet, Plats à emporter, Séminaire, Traiteur, WiFi",http://www.auberge-pays-retz.fr/#restaurant,02 40 04 84 84,contact@aubergedupaysderetz.fr,Rue du grand Pré,"[47.13092, -1.74202]"
61,CRÊPERIE FLEUR DE SEL,Crêperie,NANTES,44000,,,,http://www.fleur-de-sel.net,,,3 rue de la Baclerie,"[47.2151076, -1.5532225]"
62,Ibla Restaurant,Pizzeria,CHEIX-EN-RETZ,44640,,,,https://www.iblarestaurant.fr/,06 64 77 64 91,contact@iblapizzeria.fr,4 rue des Minées,"[47.18577, -1.8092]"
63,IMAGINE,,NANTES,44100,,,,,02 40 34 06 11,,12 rue Gresset,"[47.211879, -1.564648]"
64,L'ABELIA,Restaurant gastronomique - cuisine raffinée,NANTES,44300,,,,http://www.restaurantlabelia.com,02 40 35 40 00,,125 Boulevard des Poilus,"[47.2322643, -1.5316317]"
65,+39 COTÉ LOIRE,,INDRE,44610,,,,,,plus39indre@gmail.com,8 place Jean Saillant,"[47.1933031, -1.6473299]"
66,SOURCES,,NANTES,44100,,,,www.sources-nantes.fr,02 40 89 42 42,,22 rue de Verdun,"[47.2168812, -1.5526235]"
67,SÉPIA,,NANTES,44100,,,,www.sepia-restaurant.fr,02 51 82 71 59,contactersepia@gmail.com,1 quai de Turenne,"[47.2134027, -1.5531871]"
68,TARTINES ET BOUCHONS,Brasserie,NANTES,44000,,,,http://tartinesetbouchons.com/,02 40 47 85 40,,11 rue d'Auvours,"[47.2219173, -1.5645454]"
69,VILLA MON RÊVE,Restaurant gastronomique - cuisine raffinée,BASSE-GOULAINE,44115,,Menu enfant||||||Jusqu'à 12 ans,"Banquet, Plats à emporter, Séminaire, Service en terrasse, Traiteur, WiFi",http://www.villa-mon-reve.com,02 40 03 55 50,,2 Levée de la Divatte,"[47.232889, -1.462957]"
70,ARISTIDE,Cuisine traditionnelle,NANTES,44100,,,,http://www.aristidenantes.com/,02 49 62 25 06,contact@aristidenantes.com,1 Place Aristide Briand,"[47.2171254, -1.5622676]"
71,CHÂTEAU DE LA FREMOIRE,Bistrot / bar à vin,VERTOU,44120,,,,https://www.muscadet.fr/chateaudelafremoire/,,chateaudelafremoire@vinsdenantes.com,13 Château de la Frémoire,"[47.168194, -1.473378]"
72,LA CANTINE DU VOYAGE,Brasserie,NANTES,44200,non,,,https://www.levoyageanantes.fr/,,,Quai des Antilles,"[47.2018576, -1.5727857]"
73,LA COMÉDIE DES VINS,Bistrot / bar à vin,NANTES,44000,non,,"Service en terrasse, WiFi",,02 40 73 11 68,lacomediedesvins@hotmail.fr,4 rue Suffren,"[47.2131096, -1.560849]"
74,LA PASTA,Cuisine traditionnelle,NANTES,44000,,,"Climatisation, Plats à emporter, WiFi",https://fr-fr.facebook.com/lapastanantes,02 40 47 33 22,,14 rue Saint Leonard,"[47.2169862, -1.5555288]"
75,LE LAURIER FLEURI,Cuisine traditionnelle,VERTOU,44120,,,,http://www.lelaurierfleuri.fr,02 51 79 01 01,,460 route de Clisson,"[47.18723, -1.4828009]"
76,LE MONTE CRISTO,Restaurant gastronomique - cuisine raffinée,VERTOU,44120,,,"Séminaire, Service en terrasse",http://www.monte-cristo.fr,02 40 34 40 36,,11 Quai de la Chaussée des Moines,"[47.1682003, -1.4803366]"
77,A BOIRE ET A MANGER,Cuisine traditionnelle,NANTES,44100,,,,,02 70 58 05 10,,16 rue de la Marseillaise,"[47.2072011, -1.5891028]"
78,IZAKAYA JOYI,Cuisine du Monde,NANTES,44000,,,,www.izakayajoyi.fr,02 28 29 35 71,contact.nantes@joyi.fr,4 rue de Colmar,"[47.2120856, -1.5464555]"
79,JANO,Cuisine traditionnelle,SAINTE-LUCE-SUR-LOIRE,44980,oui,Menu adulte du jour (midi en semaine)||||||Deux formules le midi (entrée/plat ou plat/dessert et entrée/plat/dessert) + plats à la carte au dîner,"Banquet, Séminaire, Service en terrasse, WiFi",https://restaurant-jano.fr/,02 40 25 85 60,jano.nantes@gmail.com,47 promenade Bellevue,"[47.2371386, -1.4720938]"
80,KIOSQUE À PIZZAS - PONT SAINT MARTIN,Restauration rapide,PONT-SAINT-MARTIN,44860,oui,,Plats à emporter,,02 40 26 24 84,,91 Rue de Nantes,"[47.13105, -1.58024]"
81,L'AMENITE,Cuisine traditionnelle,NANTES,44100,,,,,02 40 20 03 46,,4 rue Fénelon,"[47.2171751, -1.5541604]"
82,L'ATLANTIDE 1874,Restaurant gastronomique - cuisine raffinée,NANTES,44000,non,,"Banquet, Plats à emporter, Séminaire, Traiteur, WiFi",http://www.restaurant-atlantide.net,02 40 73 23 23,,5 rue de L'Hermitage,"[47.2062429, -1.5738534]"
83,L'AUBERGE DU VIEUX GACHET,Restaurant gastronomique - cuisine raffinée,CARQUEFOU,44470,oui,"Menu adulte soir et week-end||||||MENU DE SAISON servi tous les jours midi et soir;Foie gras de canard confit au porto, condiments fruits secs;___________;Cabillaud, agria aux herbes et olives taggiasca, salade croquante, espuma sobrassada;___________;Coque marron et glace marron  ; Menu adulte du jour (midi en semaine)||||||Menu au Fil de l'Eau servi le midi du mardi au vendredi sauf jours fériés;2 entrée au choix;1poisson ou 1 viande au choux;1 assiette de fromage ou le dessert du jour; ; Menu adulte soir et week-end||||||MENU GOURMET servi tous les jours ;Brochette de St Jacques, patate douce, citronnelle gingembre;Dos de bar, betterave fumée, chou pak-choï, beurre au vin rouge;Filet de boeuf VBF, pommes anna, asperges vertes;L'Incontournable au croustillant pralin ; Menu adulte soir et week-end||||||MENU DEGUSTATION servi tous les jours;Carpaccio de St Jacques, jus de truffe;Foie gras chaud, pomme reinette, salade d'herbes;Dos de bar, betterave fumée, beurre au vin rouge;Magret de canard Apicius, navets braisés, datte medjoul ;Eclair passion ; ; Plats à la carte||||||ENTREES;Brochette de Saint Jacques, patate douce, émulsion gingembre citronnelle 20€;Tartare de bar à l'huile d'olive, yuzu, main de Bouddha 20€;Croustillant de homard, sauce armoricaine 25€;Foie gras de canard confit au porto, condiments fruits secs ; Plats à la carte||||||PLATS;Homard rôti, beurre d'herbes 12€ les 100g;Filet de bar, grenaille, beurre citronné 40€;St Jacques, polenta snakée 30€;Cabillaud, agria aux herbes, émulsion sobrassada 30€;Ris de veau , jus au vieux porto 40€;Filet de boeuf VBF rossini 35€ ; Menu adulte soir et week-end||||||DESSERTS;Kouign-aman au blé noir, glace vanille 18€;Baba au rhum, crème battue vanille 16€;Incontournable croustillant pralin 14€;Sorbet et glaces maison, fruits secs 12€ ; Menu adulte du jour (midi en semaine)||||||Menu au Fil de l'Eau servi le midi du mardi au vendredi sauf jours fériés;2 entrée au choix;1poisson ou 1 viande au choux;1 assiette de fromage ou le dessert du jour; ; Menu adulte du jour (midi en semaine)||||||Menu au Fil de l'Eau servi le midi du mardi au vendredi sauf jours fériés;2 entrée au choix;1poisson ou 1 viande au choux;1 assiette de fromage ou le dessert du jour;","Séminaire, Service en terrasse, WiFi",http://www.aubergeduvieuxgachet.com,02 40 25 10 92;,,Le Vieux Gachet,"[47.296788, -1.53043]"
84,L'OCÉANIDE,Restaurant gastronomique - cuisine raffinée,NANTES,44000,,,,http://www.restaurant-oceanide.com,02 40 20 32 28,,2 Rue Paul Bellamy,"[47.2206014, -1.5551564]"
85,LA CANTINE DU GENERAL,Cuisine traditionnelle,NANTES,44100,oui,,Service en terrasse,http://www.lacantinedugeneral.fr,02 28 00 63 84,,36 boulevard de Launay,"[47.2112984, -1.5757685]"
86,LA MANDALE,,NANTES,44100,,,,,02 28 44 21 34,lamandalerestaurant@gmail.com,32 rue Léon Jamin,"[47.2194745, -1.5589819]"
87,LE BOUCHE À OREILLE,Cuisine traditionnelle,NANTES,44000,oui,,"Climatisation, Service en terrasse, WiFi",http://leboucheaoreille-nantes.fr,02 40 73 00 25,,14 rue Jean Jacques Rousseau,"[47.2129171, -1.5614379]"
88,LE CANCLAUX,Cuisine traditionnelle,NANTES,44100,,,,https://www.lecanclaux.com/,09 52 76 27 62,contact@lecanclaux.com,7 place Canclaux,"[47.2145069, -1.5751741]"
89,Le Grand Chemin,Cuisine traditionnelle,ROUANS,44640,,,"Banquet, Séminaire, WiFi",https://restaurant-legrandchemin.fr/,02 40 64 16 10,contact@restaurant-legrandchemin.fr,50 Messan,"[47.19206, -1.85388]"
90,LE RELAIS COTE OUEST,Cuisine traditionnelle,PONT-SAINT-MARTIN,44860,oui,,"Banquet, Séminaire",http://www.relaiscoteouest.com,02 40 32 72 40,,Rond point de Viais,"[47.11854, -1.53771]"
91,LES CHANTS D'AVRIL,Restaurant gastronomique - cuisine raffinée,NANTES,44000,,,,http://www.leschantsdavril.fr/,02 40 89 34 76,,2 Rue Laënnec,"[47.2124937, -1.5480889]"
92,L’AGAVE,,NANTES,44100,,,,,02 40 47 54 51,,11 rue Léon Blum,"[47.219104, -1.555368]"
93,M.STROGOFF,,NANTES,44000,oui,,"Climatisation, Plats à emporter, Service en terrasse, Traiteur",Mstrogoff.com,02 28 44 63 86,,20 Rue Saint-Léonard,"[47.2175949, -1.5553645]"
94,MAISON BARON-LEFÈVRE,Restaurant gastronomique - cuisine raffinée,NANTES,44000,,,,http://www.baron-lefevre.fr/,02 40 89 20 20,,33 Rue de Rieux,"[47.2104248, -1.545918]"
95,Papa Cuistot - traiteur,Cuisine du Monde,HAUTE-GOULAINE,44115,oui,"Plats à la carte||10,50||21,00||Tarifs variable en fonction de la prestation demandé, contactez nous par mail afin d'obtenir une offre personnalisé.","Banquet, Livraison à domicile, Séminaire, Traiteur",https://www.papa-cuistot.com/,,papacuistot44@gmail.com,35 Route de la Chapelle Heulin,"[47.1760071, -1.3844757]"
96,PAT' A PIZZ',Restauration rapide,PONT-SAINT-MARTIN,44860,,,,https://www.facebook.com/profile.php?id=100063477613291,02 40 32 75 32,,2 bis Rue de Nantes,"[47.12337, -1.58428]"
97,RADISSON BLU,Cuisine traditionnelle,NANTES,44000,oui,,"Banquet, Séminaire, Service en terrasse, WiFi",,02 72 00 12 14,restaurant.nantes@radissonblu.com,6 place Aristide Briand,"[47.2176826, -1.5638801]"
98,RESTAURANT LE BEAU NID,Restaurant gastronomique - cuisine raffinée,SUCE-SUR-ERDRE,44240,oui,,"Service en terrasse, WiFi",http://www.lebeaunid.fr/,02 40 77 77 77,,115 place Charles de Gaulle,"[47.3406319, -1.526951]"
99,RESTAURANT LES CHAMPS D'AVAUX,Cuisine traditionnelle,BOUAYE,44830,non,Menu adulte du jour (midi en semaine)||||||Menu du Marché 2 ou 3 plats ; Menu adulte soir et week-end||||||Menus Plaisirs,"Plats à emporter, Séminaire, Service en terrasse, WiFi",https://www.champsdavaux.com,02 40 65 43 50,,"D751A - Lieu dit ""LES CHAMPS D'AVAUX""","[47.1429384, -1.6629204]"
100,RÉPUBLIQUE  CÔTÉ JARDIN »,Cuisine traditionnelle,NANTES,44200,oui,,"Banquet, Séminaire, Service en terrasse, WiFi",http://restaurantrepublique.com,02 40 84 20 00,resa@restaurantrepublique.com,7 place de la République,"[47.2049711, -1.5547973]"
101,SAPIO,Restaurant gastronomique - cuisine raffinée,Nantes,44000,oui,"Menu adulte soir et week-end||||||Menu Mystère Escapade composé d'un amuse bouche, une entrée, un plat principal et un dessert.;Venez jouer avec nos chefs et tenter de découvrir les saveurs du moment. Un beau voyage pour les papilles ; Menu adulte soir et week-end||||||Menu Mystère Aventure composé d'un amuse bouche, une entrée froide, une entrée chaude, un plat principal, un dessert et une mignardise.;Version Dégustation de notre menu mystère, c'est l'opportunité de découvrir plus de saveurs.","Banquet, Climatisation, Plats à emporter, Séminaire, Service en terrasse, Traiteur, WiFi",www.sapio-arts.fr,02 40 47 57 06,infonantes@sapio-arts.fr,11 rue de la Clavurerie,"[47.215704, -1.557046]"
102,TI LICHOUS,Cuisine traditionnelle,NANTES,44200,,,,http://www.ti-lichous.com,02 40 35 44 60,,12 rue Grande Biesse,"[47.2065326, -1.549111]"
103,RESTAURANT DOMAINE DU PETIT PLESSIS,Cuisine traditionnelle,SAINTE-LUCE-SUR-LOIRE,44980,,,,https://www.lepetitplessis.fr,02 40 08 99 88,,Le Petit Plessis,"[47.247575, -1.4688787]"
104,RESTAURANT LA CABANE,Cuisine traditionnelle,SUCE-SUR-ERDRE,44240,oui,,"Plats à emporter, Service en terrasse, WiFi",https://www.lacabane-sucesurerdre.com/,02 40 77 98 64,lacabanereservation@gmail.com,117 quai de bliesransbach,"[47.3392233, -1.5266963]"
105,RESTAURANT LE 1201- ABBAYE DE VILLENEUVE,Restaurant gastronomique - cuisine raffinée,LES SORINIERES,44840,oui,,"Climatisation, Séminaire, WiFi",https://www.abbayedevilleneuve.com,02 55 59 05 91,welcome@abbayedevilleneuve.com,Lieu-dit Villeneuve,"[47.1358451, -1.5245652]"
106,RESTAURANT LE CLOS ST-THOMAS,Restaurant gastronomique - cuisine raffinée,SUCE-SUR-ERDRE,44240,oui,,"Séminaire, Service en terrasse",https://www.le-clos-saint-thomas.fr/,02 40 77 71 34,yvonnick.briand@wanadoo.fr,"102, rue de la Mairie","[47.340385, -1.5262204]"
107,Restaurant Les Salons de la Louée,Cuisine traditionnelle,HAUTE-GOULAINE,44115,,,,http://www.lessalonsdelalouee.com,02 40 54 57 09,,93 route de la Louée,"[47.183646, -1.4283611]"
108,L'ENVOL,Cuisine traditionnelle,THOUARE-SUR-LOIRE,44470,,,,http://www.restaurant-lenvol.fr,02 40 68 07 21,,85 rue de Mauves,"[47.2718567, -1.4323348]"
109,L'ESPLANADE HOTEL - RESTAURANT - BAR A VIN,Cuisine traditionnelle,LE PELLERIN,44640,oui,,"Climatisation, Plats à emporter, Séminaire, Service en terrasse, WiFi",https://hotel-lesplanade.fr/,02 40 04 68 14,contact@hotel-lesplanade.fr,11 Quai du Docteur André Provost,"[47.20197, -1.75217]"
110,L'U.NI,Restaurant gastronomique - cuisine raffinée,NANTES,44000,oui,,,,02 40 75 53 05,restaurant-l.uni@orange.fr,36 rue Fouré,"[47.2117778, -1.5468069]"
111,LA GRANDE BARGE,Cuisine traditionnelle,NANTES,44200,oui,Plats à la carte||||||Formule de 12.5 le plat seul à 20 euros entrée plat dessert,"Plats à emporter, Service en terrasse, Traiteur, WiFi",www.ledebutdesharicots.fr,02 53 97 65 40,contact@ledebutdesharicots.fr,8 rue Grande Biesse,"[47.20666, -1.54914]"
112,LE BISTROT DU 7,Cuisine traditionnelle,NANTES,44000,,,,http://lebistrotdu7.fr/,02 40 69 88 96,,7 rue Voltaire,"[47.212379, -1.5644426]"
113,LE FRANÇOIS II,Cuisine traditionnelle,COUERON,44220,,,,http://www.francois2.com,02 40 38 32 32,,5 Place Aristide Briand,"[47.2108196, -1.7274197]"
114,LES TERRASSES DE L'ERDRE,Bistrot / bar à vin,NANTES,44300,,,,,,contact@lesterrassesdelerdre.fr,Route de Saint Joseph,"[47.234745, -1.541346]"
